overall_placement,team_name,gym,week,score,score_cum,rank_weekly,rank_weekly_within_gym,score_hex,score_cum_hex
15,The Mango Pudding Express,Vancouver,3,15.6,41.4,23,13,3.12,3.12
20,The Chalk Monsters,North Shore,3,15.25,45.42,24,6,3.05,3.05
33,The Styhedrals,Vancouver,3,15.25,39.25,25,14,3.05,3.05
21,Statistically Significant,Vancouver,3,15.2,39,26,15,3.04,3.04
29,Blood Sugar Hex Magik,Surrey,3,15.2,41.6,27,6,3.04,3.04
16,Cracks & Granite,North Shore,3,15,46.2,28,7,3,3
22,Beta Late Than Never,Vancouver,3,14.75,39.58,29,16,2.95,2.95
19,Jugs Not Drugs,Vancouver,3,14.5,39.25,30,17,2.9,2.9
25,The Rumble,Vancouver,3,14.2,35.4,31,18,2.84,2.84
34,Baby Hands,Vancouver,3,12.75,38.75,32,19,2.55,2.55
36,Rock Hard Rob,Surrey,3,12.5,38.1,33,7,2.5,2.5
38,Veloci-rock-tors,Vancouver,3,11.8,34.8,34,20,2.3600000000000003,2.3600000000000003
37,Jurassic Plastic,Surrey,3,11.6,34.6,35,8,2.32,2.32
26,Hive Got A Problem,Vancouver,3,11.4,34.35,36,21,2.2800000000000002,2.2800000000000002
32,Bare Minimum,Vancouver,3,10.6,28,37,22,2.12,2.12
30,Between the Chalks,Vancouver,3,9.67,29.67,38,23,1.934,1.934
39,"Vol, U & Me",Vancouver,3,NA,12.67,NA,NA,NA,NA
2,"Gaston, Gastoff",Vancouver,4,23.6,89.45,1,1,4.720000000000001,4.720000000000001
1,Bishi Bashi,Vancouver,4,22.75,91.35,2,2,4.55,4.55
17,Generic Bouldering Team Name,Vancouver,4,22.75,83.42,3,3,4.55,4.55
3,hExcelsior!,Vancouver,4,21.67,83.92,4,4,4.3340000000000005,4.3340000000000005
23,Aaron Iacovitti,North Shore,4,19.6,71.6,5,1,3.9200000000000004,3.9200000000000004
4,Voldemort,Surrey,4,19.25,75.25,6,1,3.85,3.85
6,Jako,Vancouver,4,19.25,71.25,7,5,3.85,3.85
5,Pumpkin Eaters,North Shore,4,18.8,72.8,8,2,3.7600000000000002,3.7600000000000002
11,Crux-odile Dundee,Surrey,4,18.5,68.75,9,2,3.7,3.7
27,Our Beta is no-guchi,Vancouver,4,18.25,66.25,10,6,3.65,3.65
24,Soft Rock,Vancouver,4,18,70.5,11,7,3.6,3.6
